Company Name,Location,Description,Batch,Company URL,Website,Founder Details
Notable Labs,"Foster City, CA, USA",Personalized drug discovery for blood cancer.,W15,https://ycombinator.com/companies/notable-labs,http://notablelabs.com,"[{""name"":""Matthew De Silva"",""role"":""CEO  "",""biography"":null,""twitter"":""https://twitter.com/MDe_Silva"",""linkedin"":""https://www.linkedin.com/in/matthewdesilva/""},{""name"":""Matthew De Silva"",""role"":""CEO  "",""biography"":null,""twitter"":""https://twitter.com/MDe_Silva"",""linkedin"":""https://www.linkedin.com/in/matthewdesilva/""}]"
Pardes Biosciences,"San Francisco, CA, USA",We break viruses,S20,https://ycombinator.com/companies/pardes-bio,http://www.pardesbio.com,"[{""name"":""Uri Lopatin"",""role"":""CEO"",""biography"":""Co-founder and the Chief Medical Officer of Assembly Pharma (2012) and CMO/VP R&D for Assembly Biosciences (f\\k\\a Ventrus Bioscience), which reverse merged with Assembly Pharma in 2014. He helped ASMB raise > $300M to move 2 generations of novel HBV meds into Ph 1 and Ph 2 clinical studies. Uri has held roles at Schering Plough, Roche, and Gilead Science, and received medical training at UMDNJ, NYU and the NIH. Uri was a visiting partner at YC before he started Pardes to cure COVID-19"",""twitter"":null,""linkedin"":""https://linkedin.com/in/urilopatin""}]"
Oklo,"Santa Clara, CA, USA","Emission free, always on power from advanced fission power plants.",S14,https://ycombinator.com/companies/oklo,http://oklo.com,"[{""name"":""Jacob DeWitte"",""role"":""CEO"",""biography"":"""",""twitter"":null,""linkedin"":""http://linkedin.com/in/jacob-dewitte-90062132""},{""name"":""Caroline Cochran"",""role"":""Caroline Cochran"",""biography"":""Caroline Cochran is the Co-Founder and Chief Operating Officer of Oklo Inc., a company developing advanced fission cleantech for cleaner air and human development. She was one of the youngest recipients of the University of Oklahoma Regent's Alumni Award. Caroline received her S.M. in Nuclear Engineering from MIT, a B.A. in Economics and a B.S. in Mechanical Engineering from the University of Oklahoma."",""twitter"":""https://www.twitter.com/caorilne"",""linkedin"":""https://www.linkedin.com/in/caorilne""}]"
Lucira Health,"Emeryville, CA, USA",Next generation infectious disease test kits,W15,https://ycombinator.com/companies/lucira-health,https://www.lucirahealth.com/,"[{""name"":""Debkishore Mitra"",""role"":""Founder "",""biography"":null,""twitter"":null,""linkedin"":""http://www.linkedin.com/in/debkishoremitra""},{""name"":""Debkishore Mitra"",""role"":""Founder "",""biography"":null,""twitter"":null,""linkedin"":""http://www.linkedin.com/in/debkishoremitra""}]"
Casetext,"San Francisco, CA, USA",We make the world's laws free and understandable.,S13,https://ycombinator.com/companies/casetext,http://casetext.com,"[{""name"":""Jake Heller"",""role"":""CEO "",""biography"":null,""twitter"":null,""linkedin"":""https://www.linkedin.com/in/jakeheller/""},{""name"":""Jake Heller"",""role"":""CEO "",""biography"":null,""twitter"":null,""linkedin"":""https://www.linkedin.com/in/jakeheller/""}]"
Caper,"",Plug-and-play cashier-less retail powered by computer vision and AI,W16,https://ycombinator.com/companies/caper,https://www.caper.ai/,"[{""name"":""Lindon Gao"",""role"":""CEO "",""biography"":null,""twitter"":null,""linkedin"":""https://www.linkedin.com/in/lindon-gao/""},{""name"":""Lindon Gao"",""role"":""CEO "",""biography"":null,""twitter"":null,""linkedin"":""https://www.linkedin.com/in/lindon-gao/""}]"
Bear Flag Robotics,"Newark, CA, USA",Autonomous driving technology for farm tractors.,W18,https://ycombinator.com/companies/bear-flag-robotics,http://bearflagrobotics.com/,"[{""name"":""Igino Cafiero"",""role"":""CEO "",""biography"":null,""twitter"":null,""linkedin"":""https://www.linkedin.com/in/igino-cafiero-43b213b0""},{""name"":""Igino Cafiero"",""role"":""CEO "",""biography"":null,""twitter"":null,""linkedin"":""https://www.linkedin.com/in/igino-cafiero-43b213b0""}]"
Modern Fertility,"San Francisco, CA, USA",At-home fertility test for women who aren't ready for kids right now…,S17,https://ycombinator.com/companies/modern-fertility,https://www.modernfertility.com,"[{""name"":""Afton Vechery"",""role"":""CEO "",""biography"":null,""twitter"":null,""linkedin"":""https://www.linkedin.com/in/aftonv/""},{""name"":""Afton Vechery"",""role"":""CEO "",""biography"":null,""twitter"":null,""linkedin"":""https://www.linkedin.com/in/aftonv/""}]"
Cognito,"Palo Alto, CA, USA","Frictionless, modern identity verification that starts with just a…",S14,https://ycombinator.com/companies/cognito,https://cognitohq.com,"[{""name"":""Alain Meier"",""role"":""CEO"",""biography"":"""",""twitter"":""https://twitter.com/alain"",""linkedin"":""https://www.linkedin.com/in/alainmeier/""},{""name"":""John Backus"",""role"":""CTO"",""biography"":""CTO and Founder @ Cognito (Acquired by Plaid in 2022)"",""twitter"":""https://twitter.com/backus"",""linkedin"":null},{""name"":""Christopher Morton"",""role"":""President and COO"",""biography"":"""",""twitter"":null,""linkedin"":""https://linkedin.com/in/mortonch""}]"
OMGPop,"New York, NY, USA",An independent flash game studio.,S06,https://ycombinator.com/companies/omgpop,https://omgpop.com,"[{""name"":""Charles Forman"",""role"":""Charles Forman"",""biography"":""Charles Forman is the co-founder of Storyboarder. With a background in computer science and design, Charles is passionate about building great product experiences that make the world a more enjoyable place. Prior to co-founding Storyboarder, Charles was the founder of OMGPOP (YCS06), a gaming startup that gained international recognition for its popular game \""Draw Something\"". OMGPOP attracted millions of users and was ultimately acquired by Zynga for $210 million."",""twitter"":""https://twitter.com/charlesforman"",""linkedin"":""https://www.linkedin.com/in/iminlikewithyou/""}]"
